Date,Beta 1,Beta 2,Beta 3
2001-10-05,-1.1473330821651928,3.204239905825548,16.59566500457228
2001-10-09,-1.478270439878783,3.555415422862522,17.401194262790234
2001-10-10,-1.510027375832921,3.6126807432684576,17.297368843888233
2001-10-11,-1.8250249561708975,3.9827341530150457,17.92854099336418
2001-10-12,-1.6262211775391127,3.7551513670224006,17.668258066211195
2001-10-15,-1.316563804900372,3.4433725551310737,16.996657123086113
2001-10-16,-1.2509690630103258,3.3599201697792607,16.823636894465857
2001-10-17,-1.4172956801411092,3.5406392089718874,16.978495193393723
2001-10-18,-1.5317949560897963,3.6238870546578816,17.21473592377892
2001-10-19,-1.7645393859493292,3.8443122224221193,17.783540725187276
2001-10-22,-1.7635675663483683,3.8613611386955773,17.73712934657424
2001-10-23,-1.9365998440111305,4.037484436043207,18.094950786000815
2001-10-24,-1.830268131259457,3.890596994091198,17.763173299969804
2001-10-25,-1.661074567534419,3.671438835785244,17.429787437395056
2001-10-26,-1.5132376056350996,3.5249753907940518,17.137215473898415
2001-10-29,-1.4279999909979382,3.3831856123379938,17.015117191477348
2001-10-30,-1.273064012017343,3.16419684809936,16.757161135212122
2001-10-31,-2.0174403467719935,3.8883813033788854,17.12927692002118
2001-11-01,-2.16819808190602,4.078143761125913,17.02678004444496
2001-11-02,-2.7032719132187593,4.548266350311042,18.59535064435712
2001-11-05,-2.743741975735933,4.583725243796775,18.35520898665348
2001-11-06,-2.7129041206480133,4.424843196026807,18.52348116163557
2001-11-07,-2.63161201783781,4.294281833147988,18.195033978194225
2001-11-08,-3.0540521059803742,4.762630596132405,19.104403565166646
2001-11-09,-3.3353014431056485,5.05258928002695,19.60943705675065
2001-11-13,-3.741444326251511,5.49676564121965,20.379958684383908
2001-11-14,-4.34924510921116,6.164383466670069,21.64810907607885
2001-11-15,-5.566294191773739,7.492672492320805,24.208377327631418
2001-11-16,-6.253687031553414,8.229935331841972,25.595602309366907
2001-11-19,-5.560271914717976,7.478207303946245,24.23034732083446
2001-11-20,-5.823992915894447,7.739619543032985,24.958363056955037
2001-11-21,-6.731173360753739,8.685916217376718,26.639635012821852
2001-11-23,-7.208000018690619,9.179991002630167,27.57271901394251
2001-11-26,-7.257542747363448,9.247240327192223,27.637673504113025
2001-11-27,-6.761492519053777,8.694212248875864,26.827024349987607
2001-11-28,-7.175694278802271,9.055838765941758,27.584333318779144
2001-11-29,-6.2923963091004875,8.032202431966926,25.934028687102803
2001-11-30,-6.072647644987745,7.798059659278463,25.67404023449559
2001-12-03,-5.756718145549403,7.487829926929697,25.04730030542839
2001-12-04,-5.695303923250513,7.411396999163113,24.803781788286056
